"profile_id";"real_money";"money"
2666969;2;100
2676137;4;500
2676182;4;0
2692895;0;100
2704904;0;300
2715414;38;0
2721355;41;1000
2722787;0;100
2741860;3;0
2749432;0;100
2750784;2;0
2756027;1;0
2757325;20;0
2757360;61;0
2795299;7;0
2799714;28;0
2801869;263;3700
2807536;124;2700
2820394;4;1700
2820509;7;200
2820851;11;0
2828937;40;200
2830512;0;200
2832981;2;0
2852797;0;100
2859200;20;300
2864203;4;400
2882833;16;1400
2893819;3;0
2893999;6;0
2897087;39;100
2902928;1;0
2915632;2;200
2921369;1;0
2924032;13;0
2934762;26;4900
2945556;3;0
2968897;1;0
2972893;3;0
2977977;1;0
2979957;3;0
2986316;3;500
2993977;0;300
2999175;1;0
3001003;0;1300
3006321;10;0
3008180;15;0
3016882;0;800
3018030;33;0
3035471;13;0
3046499;1;0
3047915;1;0
3048243;0;200
3053877;0;100
3056986;413;500
3062678;0;100
3066411;3;0
3070808;1;0
3072868;11;0
3077620;11;100
3079202;1;0
3084221;48;0
3088644;11;0
3089325;28;1000
3095380;10;100
3100155;2;0
3107270;4;0
3112887;19;0
3113077;1;0
3113387;10;0
3116801;90;0
3117425;1;200
3120679;0;100
3122237;3;300
3122448;10;0
3129360;3;0
3131795;0;500
3134393;1;0
3134595;2;0
3134763;9;500
3140478;1;0
3144241;5;600
3146780;1;0
3154165;0;200
3156196;6;0
3158006;4;0
3158704;3;300
3159675;66;1000
3168611;7;0
3173825;1;0
3174760;20;300
3184792;0;700
3187473;0;300
3189565;5;400
3191431;1;0
3202835;9;0
3206899;0;1000
3210556;3;0
3217610;0;100
3218332;4;300
3219058;0;1400
3231085;9;500
3233181;1;0
3233472;13;600
3235867;31;300
3239064;0;300
3241231;3;0
3244671;1;0
3245180;1;0
3246443;0;300
3251858;107;6500
3252074;3;0
3253550;3;0
3255222;2;0
3255547;1;0
3262405;1;0
3268031;0;100
3268056;3;0
3269817;3;0
3271306;4;1500
3274463;17;700
3284155;32;0
3287837;1;0
3299968;38;0
3304084;45;2900
3305350;6;0
3308769;10;0
3310124;25;1000
3315179;12;0
3317018;1;0
3320224;0;100
3320619;0;100
3322998;10;9400
3329249;3;0
3330098;0;100
3330729;1;1200
3337905;1;200
3338227;3;0
3346130;76;2900
3354553;1;0
3358281;63;1900
3360074;31;300
3361485;0;1000
3363548;3;0
3364086;61;3100
3364152;84;0
3369530;1;0
3375558;100;1000
3375960;0;500
3383905;1;0
3385485;10;0
3386838;1;0
3387508;0;1000
3394153;3;200
3396132;50;100
3398291;3;200
3400393;1;100
3400464;3;0
3405135;132;0
3406167;37;300
3407992;374;5600
3409179;4;0
3412118;13;1800
3414309;87;0
3419331;84;3600
3426621;0;1400
3427304;10;0
3427305;3;1000
3429567;29;600
3433544;34;100
3434231;0;300
3435004;2;0
3435780;93;0
3441431;5;0
3442722;3;100
3449338;1;0
3451765;10;1000
3451905;77;0
3452296;0;300
3456292;2;0
3458717;1;0
3459352;3;0
3460946;3;0
3461228;13;0
3464994;142;400
3468303;3;0
3468716;0;300
3468985;6;0
3469086;1;0
3471053;1;0
3472403;3;500
3472793;10;0
3474533;56;0
3486459;1;0
3489148;1;0
3491370;9;400
3500895;3;0
3501537;38;0
3504165;0;300
3508012;6;0
3508158;0;300
3508474;3;0
3508958;68;0
3509491;18;800
3513033;0;400
3513622;0;300
3513770;146;100
3517372;11;0
3518921;49;2800
3521872;0;300
3526724;13;0
3543254;6;700
3550011;3;0
3551055;31;100
3551183;3;0
3552104;3;0
3553862;0;400
3561663;200;0
3563591;1;0
3567961;88;0
3570542;39;0
3574075;1;0
3574633;20;1400
3575959;0;300
3576463;11;0
3579539;4;0
3581523;68;0
3581940;1;0
3583323;1;0
3583850;2;0
3585187;10;0
3587646;4;0
3588647;2;0
3597275;0;500
3599004;275;600
3603268;1;0
